City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,campamento,14.55,-86.65,19.83,99,76,0.43,HN,1689937533
129,katsuura,35.1333,140.3,23.61,89,12,5.06,JP,1689937337
130,le port,-20.9373,55.2919,26.98,89,8,2.26,RE,1689937533
131,ranchettes,41.2186,-104.7903,11.83,95,100,2.57,US,1689937533
132,fortuna,40.5982,-124.1573,14.81,96,100,0.0,US,1689937273
133,bilibino,68.0546,166.4372,16.64,74,81,0.57,RU,1689937255
134,talara,-4.5772,-81.2719,21.1,81,44,5.98,PE,1689937534
135,kapuskasing,49.4169,-82.4331,13.0,94,100,2.57,CA,1689937252
136,bolgatanga,10.7856,-0.8514,32.88,50,26,3.81,GH,1689937534
137,ilulissat,69.2167,-51.1,12.01,66,75,5.66,GL,1689937266
138,waddan,29.1614,16.139,36.89,17,0,2.88,LY,1689937534
139,richards bay,-28.783,32.0377,17.43,61,99,2.05,ZA,1689937535
140,hammerfest,70.6634,23.6821,12.25,82,75,3.6,NO,1689937323
141,laguna,38.421,-121.4238,22.47,70,0,0.0,US,1689937341
142,hawaiian paradise park,19.5933,-154.9731,22.24,98,100,0.45,US,1689937259
143,nova sintra,14.8667,-24.7167,23.12,85,71,8.3,CV,1689937249
144,namdrik,5.5994,168.1028,28.14,82,100,6.54,MH,1689937535
145,saint-georges,12.0564,-61.7485,26.82,89,75,5.66,GD,1689937535
146,kasempa,-13.4584,25.8338,27.64,25,56,4.72,ZM,1689937535
147,luderitz,-26.6481,15.1594,18.87,42,2,1.17,NA,1689937354
148,tadmur,34.5608,38.2805,39.49,8,0,6.04,SY,1689937536
149,mount gambier,-37.8333,140.7667,7.26,92,19,1.6,AU,1689937216
150,kayangel,8.0823,134.7173,28.73,77,90,6.69,PW,1689937299
151,kuala belait,4.5833,114.1833,25.09,89,100,2.46,BN,1689937536
152,forbes,-33.3833,148.0167,6.62,83,5,2.9,AU,1689937536
153,soio,-6.1349,12.3689,25.35,64,39,3.6,AO,1689937536
154,laojunmiao,39.8333,97.7333,28.17,11,63,7.93,CN,1689937257
155,carnarvon,-24.8667,113.6333,18.94,42,100,6.76,AU,1689937284
156,kristinestad,62.2743,21.376,18.94,61,78,3.2,FI,1689937537
157,tofol,5.3248,163.0078,27.59,78,100,2.99,FM,1689937537
158,byron bay,-28.65,153.6167,12.62,62,56,0.58,AU,1689937537
159,chernyshevskiy,63.0128,112.4714,19.42,64,100,1.14,RU,1689937346
160,antalaha,-14.9003,50.2788,21.66,94,100,3.62,MG,1689937537
161,vernon,50.2581,-119.2691,20.74,49,69,3.09,CA,1689937538
162,midvagur,62.0511,-7.1939,14.46,77,100,2.57,FO,1689937278
163,calverton,39.0576,-76.9358,21.2,95,75,0.0,US,1689937538
164,yellowknife,62.456,-114.3525,18.29,77,100,3.09,CA,1689937252
165,ascension,30.2169,-90.9001,26.72,96,75,0.0,US,1689937538
166,svetlyy,54.675,20.1347,20.54,56,28,5.16,RU,1689937538
167,tamanrasset,22.785,5.5228,32.95,11,0,7.2,DZ,1689937539
168,birzebbuga,35.8258,14.5269,39.38,19,0,2.06,MT,1689937539
169,tindouf,27.6711,-8.1474,40.25,9,0,4.12,DZ,1689937539
170,kaa-khem,51.6833,94.7333,17.64,85,100,3.04,RU,1689937346
171,chaguanas,10.5167,-61.4167,27.87,86,20,0.0,TT,1689937540
172,saipan,15.1355,145.701,28.14,100,100,3.13,MP,1689937296
173,howard springs,-12.497,131.047,24.95,51,5,1.84,AU,1689937540
174,rabo de peixe,37.8,-25.5833,21.73,78,40,2.06,PT,1689937540
175,fort bragg,35.139,-79.006,23.91,85,20,2.57,US,1689937266
176,arteche,12.2645,125.4048,27.07,85,72,1.73,PH,1689937336
177,novodvinsk,64.4165,40.8122,17.85,94,100,3.13,RU,1689937541
178,am timan,11.0297,20.2827,32.46,48,54,2.6,TD,1689937363
179,hermanus,-34.4187,19.2345,15.45,46,73,2.41,ZA,1689937330
180,kailua-kona,19.6406,-155.9956,25.98,99,100,4.12,US,1689937541
181,paracuru,-3.41,-39.0306,26.17,58,5,7.58,BR,1689937541
182,naze,28.3667,129.4833,27.51,80,100,1.25,JP,1689937328
183,colombia,20.9881,-77.4297,24.39,99,98,2.8,CU,1689937210
184,longyearbyen,78.2186,15.6401,8.91,81,75,4.12,SJ,1689937293
185,georgetown,5.4112,100.3354,30.97,73,40,3.09,MY,1689937195
186,manggar,-2.8833,108.2667,27.3,78,86,6.32,ID,1689937542
187,grand falls-windsor,48.9332,-55.6649,20.84,94,100,2.47,CA,1689937445
188,palmer,42.1584,-72.3287,20.92,87,100,1.54,US,1689937542
189,kurtamysh,54.9103,64.4319,21.07,53,88,9.52,RU,1689937453
190,sao joao da barra,-21.6403,-41.0511,19.05,65,100,4.75,BR,1689937314
191,waingapu,-9.6567,120.2641,24.14,74,28,5.86,ID,1689937277
192,kill devil hills,36.0307,-75.676,25.01,89,100,0.0,US,1689937543
193,talnakh,69.4865,88.3972,22.34,62,99,4.28,RU,1689937274
194,colares,38.7992,-9.4469,24.81,61,40,7.2,PT,1689937052
195,lincoln city,44.9582,-124.0179,15.2,95,95,0.45,US,1689937543
196,aur,8.1499,171.1687,28.39,84,90,8.94,MH,1689937543
197,narasaraopet,16.25,80.0667,29.52,63,100,8.34,IN,1689937543
198,bozoum,6.3193,16.3799,26.63,75,85,1.47,CF,1689937543
199,klyuchi,52.2667,79.1667,32.65,25,83,5.44,RU,1689937277
200,fayroz koh,34.5195,65.2509,30.05,16,3,4.03,AF,1689937544
201,huancavelica,-12.7667,-74.9833,-2.48,83,3,1.12,PE,1689937544
202,minas de marcona,-15.2119,-75.1103,12.04,87,7,3.77,PE,1689937544
203,nea alikarnassos,35.3333,25.1667,36.63,36,0,1.54,GR,1689937544
204,lobujya,27.95,86.8167,7.22,82,46,2.2,NP,1689937544
205,bodden town,19.2833,-81.25,30.0,79,20,5.66,KY,1689937544
206,cuatro cienegas de carranza,26.9833,-102.0833,25.84,48,28,2.02,MX,1689937544
207,lamu,-2.2717,40.902,28.12,70,0,8.45,KE,1689937545
208,zemio,5.0314,25.1361,28.96,60,69,1.87,CF,1689937545
209,nemuro,43.3236,145.575,15.13,94,3,4.92,JP,1689937324
210,holualoa,19.6228,-155.9522,22.1,99,72,2.11,US,1689937304
211,vila velha,-20.3297,-40.2925,18.97,97,75,1.54,BR,1689937255
212,coahuayana de hidalgo,18.7,-103.6583,25.19,81,20,1.16,MX,1689937345
213,boden,65.8252,21.6886,15.0,72,100,3.03,SE,1689937545
214,buka,40.8108,69.1986,40.24,10,0,4.49,UZ,1689937330
215,verkhnedneprovskiy,54.9813,33.3457,19.74,45,62,3.36,RU,1689937546
216,kulhudhuffushi,6.6221,73.07,27.85,77,100,8.72,MV,1689937546
217,tazovsky,67.4667,78.7,24.89,38,82,5.03,RU,1689937322
218,trincomalee,8.5711,81.2335,33.16,51,90,5.17,LK,1689937546
219,dudinka,69.4058,86.1778,22.57,61,95,2.6,RU,1689937343
220,yanam,16.7333,82.2167,28.22,76,99,4.28,IN,1689937546
221,tura,25.5198,90.2201,26.72,93,100,1.55,IN,1689937284
222,morehead city,34.7229,-76.726,27.22,86,0,4.12,US,1689937546
223,antsiranana,-12.2787,49.2917,27.42,65,75,6.17,MG,1689937546
224,zuyevka,58.405,51.1335,17.5,80,99,4.92,RU,1689937547
